"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"mirthcorporation",".iso.org.dod.internet.private.enterprises.mirthcorporation",".1.3.6.1.4.1.29009",,,"","MIRTH-MIB",
"common",".iso.org.dod.internet.private.enterprises.mirthcorporation.common",".1.3.6.1.4.1.29009.1",,,"","MIRTH-MIB",
"products",".iso.org.dod.internet.private.enterprises.mirthcorporation.products",".1.3.6.1.4.1.29009.2",,,"","MIRTH-MIB",
"appliances",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances",".1.3.6.1.4.1.29009.2.1",,,"","MIRTH-MIB",
"interfaces",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.interfaces",".1.3.6.1.4.1.29009.2.1.5",,,"","MIRTH-MIB",
"ifNumber",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.interfaces.ifNumber",".1.3.6.1.4.1.29009.2.1.5.1","INTEGER32","read-only","","MIRTH-MIB","""The number of network interfaces (regardless of their
current state) present on this system."""
"ifTable",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.interfaces.ifTable",".1.3.6.1.4.1.29009.2.1.5.2","SEQUENCE OF IfEntry","not-accessible","","MIRTH-MIB","""A list of interface entries."""
"ifEntry",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.interfaces.ifTable.ifEntry",".1.3.6.1.4.1.29009.2.1.5.2.1","IfEntry","not-accessible","ifIndex","MIRTH-MIB","""An interface entry containing objects at the
subnetwork layer and below for a particular
interface."""
"ifIndex",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.interfaces.ifTable.ifEntry.ifIndex",".1.3.6.1.4.1.29009.2.1.5.2.1.1","INTEGER","read-only","","MIRTH-MIB","""A unique value for each interface.  Its value
ranges between 1 and the value of ifNumber.  The
value for each interface must remain constant at
least from one re-initialization of the entity's
network management system to the next re-
initialization."""
"ifDescr",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.interfaces.ifTable.ifEntry.ifDescr",".1.3.6.1.4.1.29009.2.1.5.2.1.2","OCTET STRING","read-only","","MIRTH-MIB","""A textual string containing information about the
interface."""
"ifOperStatus",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.interfaces.ifTable.ifEntry.ifOperStatus",".1.3.6.1.4.1.29009.2.1.5.2.1.3","INTEGER","read-only","","MIRTH-MIB","""The operational status of the interface."""
"ifInOctets",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.interfaces.ifTable.ifEntry.ifInOctets",".1.3.6.1.4.1.29009.2.1.5.2.1.4","COUNTER32","read-only","","MIRTH-MIB","""The total number of octets received on the
interface, including framing characters."""
"ifOutOctets",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.interfaces.ifTable.ifEntry.ifOutOctets",".1.3.6.1.4.1.29009.2.1.5.2.1.5","COUNTER32","read-only","","MIRTH-MIB","""The total number of octets transmitted out of the
interface, including framing characters."""
"disk",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk",".1.3.6.1.4.1.29009.2.1.6",,,"","MIRTH-MIB",
"dskTable",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable",".1.3.6.1.4.1.29009.2.1.6.1","SEQUENCE OF DskEntry","not-accessible","","MIRTH-MIB","""Disk watching information.  Partition(s) to be
watched."""
"dskEntry",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable.dskEntry",".1.3.6.1.4.1.29009.2.1.6.1.1","DskEntry","not-accessible","dskIndex","MIRTH-MIB","""An entry containing a disk and its statistics"""
"dskIndex",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable.dskEntry.dskIndex",".1.3.6.1.4.1.29009.2.1.6.1.1.1","INTEGER32","read-only","","MIRTH-MIB","""Integer reference number (row number) for the disk mib."""
"dskTotal",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable.dskEntry.dskTotal",".1.3.6.1.4.1.29009.2.1.6.1.1.2","INTEGER32","read-only","","MIRTH-MIB","""Total size of the disk/partition (kBytes)."""
"dskAvail",".iso.org.dod.internet.private.enterprises.mirthcorporation.products.appliances.disk.dskTable.dskEntry.dskAvail",".1.3.6.1.4.1.29009.2.1.6.1.1.3","INTEGER32","read-only","","MIRTH-MIB","""Available space on the disk."""
